Date;Close;Log_Weekly_Returns
2015-07-20; $208,00 ;-0,021309787
2015-07-27; $210,50 ;0,011947573
2015-08-03; $207,95 ;-0,012187987
2015-08-10; $209,42 ;0,007044139
2015-08-17; $197,83 ;-0,056933729
2015-08-24; $199,28 ;0,007302795
2015-08-31; $192,59 ;-0,034147294
2015-09-08; $196,74 ;0,021319483
2015-09-14; $195,45 ;-0,006578468
2015-09-21; $192,85 ;-0,013391908
2015-09-28; $195,00 ;0,011086874
2015-10-05; $201,33 ;0,031945794
2015-10-12; $203,27 ;0,009589792
2015-10-19; $207,51 ;0,020644387
2015-10-26; $207,93 ;0,002021953
2015-11-02; $210,04 ;0,010096504
2015-11-09; $202,54 ;-0,036360591
2015-11-16; $209,31 ;0,032882831
2015-11-23; $209,56 ;0,001189866
2015-11-30; $209,62 ;0,000286273
2015-12-07; $201,88 ;-0,037622906
2015-12-14; $200,02 ;-0,0092521
2015-12-21; $205,68 ;0,027900202
2015-12-28; $203,87 ;-0,008839027
2016-01-04; $191,92 ;-0,060388286
2016-01-11; $187,81 ;-0,021663436
2016-01-19; $190,52 ;0,014326362
2016-01-25; $193,72 ;0,016660771
2016-02-01; $187,95 ;-0,030241977
2016-02-08; $186,63 ;-0,007047923
2016-02-16; $192,00 ;0,028367325
2016-02-22; $195,09 ;0,015961518
2016-02-29; $200,43 ;0,027008169
2016-03-07; $202,76 ;0,011557955
2016-03-14; $204,38 ;0,007957993
2016-03-21; $203,12 ;-0,006184069
2016-03-28; $206,92 ;0,018535308
2016-04-04; $204,50 ;-0,011768182
2016-04-11; $207,78 ;0,015915764
2016-04-18; $208,97 ;0,005710873
2016-04-25; $206,33 ;-0,012709995
2016-05-02; $205,72 ;-0,002964685
2016-05-09; $204,76 ;-0,004677459
2016-05-16; $205,49 ;0,003558809
2016-05-23; $210,24 ;0,022852364
2016-05-31; $210,28 ;0,000190241
2016-06-06; $210,07 ;-0,000999167
2016-06-13; $206,52 ;-0,017043548
2016-06-20; $203,13 ;-0,016551092
2016-06-27; $209,92 ;0,032884149
2016-07-05; $212,65 ;0,012917305
2016-07-11; $215,83 ;0,014843439
2016-07-18; $217,24 ;0,006511672
2016-07-25; $217,12 ;-0,000552537
2016-08-01; $218,18 ;0,004870214
2016-08-08; $218,46 ;0,001282521
2016-08-15; $218,54 ;0,000366133
2016-08-22; $217,29 ;-0,005736197
2016-08-29; $218,37 ;0,004958005
2016-09-06; $213,28 ;-0,023585015
2016-09-12; $213,37 ;0,000421891
2016-09-19; $215,99 ;0,012204362
2016-09-26; $216,30 ;0,001434223
2016-10-03; $215,04 ;-0,005842276
2016-10-10; $213,12 ;-0,00896867
2016-10-17; $213,98 ;0,004027165
2016-10-24; $212,54 ;-0,006752347
2016-10-31; $208,55 ;-0,018951385
2016-11-07; $216,42 ;0,037042144
2016-11-14; $218,50 ;0,00956505
2016-11-21; $221,52 ;0,013726864
2016-11-28; $219,68 ;-0,008340937
2016-12-05; $226,51 ;0,030617152
2016-12-12; $225,04 ;-0,00651093
2016-12-19; $225,71 ;0,002972825
2016-12-27; $223,53 ;-0,009705356
2017-01-03; $227,21 ;0,016329067
2017-01-09; $227,05 ;-0,000704442
2017-01-17; $226,74 ;-0,001366271
2017-01-23; $228,97 ;0,009787004
2017-01-30; $229,34 ;0,001614628
2017-02-06; $231,51 ;0,009417451
2017-02-13; $235,09 ;0,01534535
2017-02-21; $236,74 ;0,006994073
2017-02-27; $238,42 ;0,007071332
2017-03-06; $237,69 ;-0,003066521
2017-03-13; $237,03 ;-0,002780588
2017-03-20; $233,86 ;-0,01346407
2017-03-27; $235,74 ;0,008006857
2017-04-03; $235,20 ;-0,002293287
2017-04-10; $232,51 ;-0,011502981
2017-04-17; $234,59 ;0,008906075
2017-04-24; $238,08 ;0,014767442
