Symbol,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,Alpha_annual,R2,N_obs
DD,-0.014272062652228136,1.11738394758391,1.1158354742064234,-0.2984074470779381,1.3234253719984903,0.9164454087417686,-0.15844058078707868,0.6724869287378095,59
DDOG,0.01633940221313689,1.1193533737466321,0.0706300651208281,-0.46084448180181414,-1.5477933937193107,-0.8907314567730251,0.21468915920501308,0.39879516237612633,59
DE,0.005171611273960569,0.9935622106562816,0.08832107721608216,0.2433324084473549,-0.12133771936312987,0.5089723135526548,0.06385532937461824,0.47201043427261935,59
DECK,0.01778038579742802,0.8778208646700298,0.24336197550124034,0.1346644944297406,0.43855422857516063,-0.9853828915441497,0.23551756805593071,0.3991696453377106,59
DELL,0.01216881578556604,1.0017840208427913,-0.8918165773234988,0.3657238933283041,0.1950303694911431,-0.15739702299160777,0.15620657415154793,0.3716771681833544,59
DG,-0.02103442752542118,0.45341128045572776,0.4082871136990213,-0.7444810426962878,0.4919835123978756,0.8685698024030905,-0.2251653575536282,0.12757316403834285,59
DHI,-0.0112594922219885,1.4639324557767566,1.00175862667035,0.1578562654434226,1.4015394007794186,0.007990565857244485,-0.12705290124370816,0.6513209554794515,59
DHR,-0.003926298116892521,0.7873562423602863,0.11304710377404503,-0.32356780821371317,0.2995636026706049,0.042648084810250925,-0.04611133254771638,0.393273053741228,59
DLR,-0.0027518951098987423,0.7418476913864436,-0.26651136583248924,-0.5989082232189902,0.2333023906696025,0.4848104688609661,-0.032527484671572404,0.3108894100456402,59
DLTR,-0.017930877664450333,0.7508538696116057,1.0233062413647411,-0.49305766254639366,0.8394383604194864,0.9220535068811605,-0.19516903512440043,0.29437089865221566,59
DOV,-0.007581631204336279,1.1192610568608232,-0.05439683709081114,0.334842837651809,0.45426204590635166,-0.3720553935237456,-0.08728008006747867,0.7789106082040308,59
DOW,-0.015247082071202778,1.0928027391736082,0.2823139375027956,0.5367016761642791,0.43498791648107193,0.3857329626991332,-0.16837542189174004,0.6393467909517396,59
DPZ,-0.00804789805998676,0.9301499174554634,-0.17749961261368594,-0.5220894092219667,0.5504520733750269,0.15182318255977303,-0.0924126702756658,0.32630574674365187,59
DRI,-0.005930280898105955,1.1851078159936992,0.33060917182650484,0.7406529137894818,0.2596355824245689,-0.8687414647241664,-0.06888754369521188,0.5416713079904218,59
DTE,-0.00815660081556781,0.6818335698197565,0.007702656965977403,0.3032394383445224,0.31940532403782873,0.25522349497600655,-0.09360544322813968,0.5212444941592518,59
DUK,-0.004567157870765383,0.48657247839200674,-0.048610349923439204,0.08238659916088704,0.2688015854674248,0.5565890734304092,-0.05344994972234951,0.3132402448009144,59
DVA,0.00398695934815033,1.000909790371704,-0.1498966295829059,-0.338134729431224,-1.0027367395968303,0.6440102259856246,0.048906706553828005,0.3350407190575384,59
