Symbol,Beta,Alpha_monthly,Alpha_annual,Corr,R2,N_obs
D,0.604812441746463,-0.011205271243438106,-0.1264782753550573,0.49141733410182514,0.24149099625574483,59
DAL,1.3914598429594471,-0.011599737824045301,-0.13065087140958398,0.5649205830174633,0.31913526511679063,59
DASH,1.0520295154647061,-0.007674550448947675,-0.08830503794917721,0.5360640372317097,0.28736465201315986,48
DAY,1.2952563616285881,-0.01273735288713292,-0.1425822487195968,0.6103769060087401,0.3725599673888023,59
DD,1.2875440679695753,-0.004118760453826905,-0.04832071925423731,0.6984501254403896,0.48783257772769606,59
DDOG,1.1036639953817424,0.008107354212391364,0.10174577957477204,0.4122111108626295,0.16991799991860304,59
DE,0.9652949995114629,0.007857454764593026,0.09847290677711418,0.6143085315353645,0.37737497191713587,59
DECK,1.0606025291731238,0.020741532767028822,0.2793501745458644,0.5728080454189166,0.32810905689663966,59
DELL,0.8917208479804923,0.01796044045084339,0.23814301385090286,0.528355984297186,0.2791600461426483,59
DG,0.4407904671814347,-0.016589233238137224,-0.18187529809839598,0.2556137597436487,0.06533839417028375,59
DGX,0.887968350952928,-0.0022941612039752866,-0.027185207600463723,0.5385395618876884,0.2900248597181833,59
DHI,1.7415247923396182,-0.0008076616837474036,-0.009649002953901253,0.7389169820133429,0.5459983063077068,59
DHR,0.8270434733153549,-0.0003899794326777395,-0.004669728687583863,0.6050637477899922,0.36610213888967125,59
DIS,1.4083275170476113,-0.0170488637543424,-0.18645206242575108,0.738619027549336,0.5455580678579267,59
DLR,0.6700602210026967,0.0015671715597460455,0.018969006255715293,0.4580482158524799,0.20980816804564,59
DLTR,0.8653171563246865,-0.011628068716348479,-0.13094984608678684,0.4442091962826039,0.19732181006203692,59
DOC,1.1330069780816086,-0.016807076723654345,-0.18404740559985677,0.6922094229907567,0.4791538852771964,59
DOV,1.211268412971687,-0.0022312946215671276,-0.026449374593705,0.8664341797583948,0.7507081878536024,59
DOW,1.1667178897437407,-0.009440902109725686,-0.10758945408758214,0.6804519836889977,0.46301490210629204,59
DPZ,0.9057469430230208,-0.0017651418929946127,-0.020977269948214472,0.49803938304328604,0.248043227062137,59
DRI,1.3744653030289176,-0.002877600795495143,-0.03398989927095486,0.6654719003840583,0.4428528502007701,59
