Symbol,Beta,Alpha_monthly,Alpha_annual,Corr,R2,N_obs
CME,0.5822492520346804,-0.0026995361093966586,-0.03191776048252204,0.5285856767477273,0.27940281766285285,59
CMG,1.2163988409907815,0.009184485938019122,0.11595526763813946,0.6829399962723036,0.4664070385084141,59
CMI,0.9323783608017111,0.005768107882614933,0.07145595859855303,0.6689605435602729,0.4475082088404558,59
CMS,0.41708837461229814,-0.003366448107050169,-0.039657731251458994,0.4138694774512537,0.1712879443657738,59
CNC,0.4495866207936369,-0.006312604167576263,-0.07317578092260779,0.3066091343858618,0.09400916128884745,59
CNP,0.9850484473482044,-0.00464822492625013,-0.0543745685765169,0.6607935928460521,0.4366481723463941,59
COF,1.5108483771255568,-0.002972178949574829,-0.035088851271727006,0.6724149797093191,0.45214190493748396,59
COO,1.0046436253418722,-0.009220049030515104,-0.1051988831327354,0.6808344202374665,0.4635355077800872,59
COP,1.231491422803827,-0.0002460939773405689,-0.002949133896937406,0.5198993205310893,0.27029530348868835,59
COR,0.46743075001119183,0.01324922908822216,0.17110378298315587,0.4180126415261367,0.17473456847565846,59
COST,0.8011485430346322,0.01148356228910713,0.14684824113329142,0.6509713364131583,0.4237636808315333,59
CPAY,1.2770368288567215,-0.011234857658116312,-0.12679187075507659,0.6746982748854221,0.4552177621333646,59
CPB,0.1812546441463817,-0.00331158347792595,-0.03902313758666631,0.18948596335077633,0.03590493030697175,59
CPRT,1.3098590791091738,0.0011337047189228927,0.01368960691775456,0.7810936919935262,0.6101073556720775,59
CPT,0.9968602557099138,-0.006944206323773528,-0.0802203553966554,0.7139367359289684,0.5097056629089096,59
CRL,1.364482672174112,-0.010141957476366417,-0.11513912551481131,0.667278298137903,0.4452603271658161,59
CRM,1.247924041143461,-0.0018475444899279728,-0.02194662978452544,0.6330773050415659,0.40078687415869185,59
CRWD,1.0503826800951497,0.018609902465315083,0.24765561801874458,0.37212818881999526,0.13847938891445005,59
CSCO,0.8162156285201352,-0.0017574133327612831,-0.02088630828785909,0.6027889166556017,0.363354478042834,59
CSGP,0.816741803938039,-0.007130761688964054,-0.08229169093964162,0.557178027080369,0.31044735386117245,59
CSX,1.2033185111848674,-0.006716553880636336,-0.07768691111706383,0.8339495996456375,0.6954719347491192,59
CTAS,1.3781812650166996,0.003876807214006463,0.047526573674551376,0.7838716736440609,0.614454800741541,59
CTRA,0.20164772980295576,0.010589229644897575,0.13473900980713438,0.10617093482436772,0.011272267401480138,59
CTSH,1.0449910643020528,-0.005459617503651904,-0.0635834862941429,0.6893173014751615,0.4751583421129986,59
CTVA,0.7734277713692709,0.004190214857685441,0.05145773905805773,0.5624923379158224,0.31639763021400774,59
CVS,0.5939866796003517,-0.011303501285251368,-0.12751904798683833,0.3903240628885184,0.15235287406980005,59
CVX,1.057925660475358,-0.0017757532452329543,-0.021102148148047672,0.6091557823147309,0.3710707671274718,59
D,0.6048138839762952,-0.011205282987809425,-0.1264783998576975,0.49141858932173393,0.241492229930963,59
DAL,1.391460326226623,-0.011599744160546719,-0.1306509382889488,0.5649207922372164,0.31913550150192416,59
DASH,1.0520295154647061,-0.007674550448947675,-0.08830503794917721,0.5360640372317097,0.28736465201315986,48
DAY,1.2952563616285881,-0.01273735288713292,-0.1425822487195968,0.6103769060087401,0.3725599673888023,59
DD,1.2875442202932106,-0.004118760279089174,-0.048320717250453504,0.6984500486026437,0.48783247039303534,59
DDOG,1.1036639953817424,0.008107354212391364,0.10174577957477204,0.4122111108626295,0.16991799991860304,59
DE,0.9652948120307178,0.007857459293895157,0.0984729660154402,0.614308475652587,0.377374903258605,59
DECK,1.0606025291731238,0.020741532767028822,0.2793501745458644,0.5728080454189166,0.32810905689663966,59
DELL,0.8917210624281933,0.01796043699985926,0.23814296348181152,0.5283561564036382,0.2791602280096258,59
DG,0.4407913210911959,-0.016589247438460637,-0.18187543986175525,0.25561420970076876,0.06533862420094859,59
DGX,0.8879684703685753,-0.0022941591116024266,-0.027185183118402678,0.5385394458963264,0.2900247347863223,59
DHI,1.7415240363202549,-0.0008076532110634551,-0.009648902181335184,0.7389170609256546,0.5459984229270075,59
DHR,0.8270437577259961,-0.00038998845859286504,-0.0046698365348353255,0.605063652973738,0.36610202414992404,59
DIS,1.4083273277024562,-0.01704885723892611,-0.18645199771526644,0.7386190277240269,0.5455580681159868,59
DLR,0.670059758526167,0.0015671753257866109,0.01896905223340495,0.4580479387076303,0.20980791415430902,59
DLTR,0.8653171563246865,-0.011628068716348479,-0.13094984608678684,0.4442091962826039,0.19732181006203692,59
DOC,1.1330071356862719,-0.016807073146268225,-0.18404736997334836,0.6922095687295041,0.47915408704068607,59
DOV,1.2112691954702535,-0.002231298533957947,-0.02644942040284437,0.8664344844881436,0.7507087159102352,59
DOW,1.1667177061890557,-0.00944090254617167,-0.10758945880599624,0.680451983645982,0.4630149020477518,59
DPZ,0.9057463870054797,-0.0017651314719936669,-0.02097714730295952,0.49803898339404323,0.24804282898017208,59
DRI,1.3744655671770363,-0.002877604373786407,-0.033989940870646884,0.6654718026575173,0.4428527201322456,59
DTE,0.7189621772538062,-0.004023305561526611,-0.04722552422922899,0.6435768448590292,0.414191155238703,59
DUK,0.4753573069108456,-0.0007951486373147273,-0.009500164803878608,0.4517308434142958,0.20406075489179104,59
DVA,0.8520228079674218,0.0016540037949743383,0.020029602817940306,0.4820261755080859,0.23234923387495204,59
DVN,2.0979892988656115,-0.007333939503462861,-0.08454272153279618,0.5857213480504309,0.34306949756201394,59
DXCM,1.0482900013187704,-0.0062313490603748585,-0.0722659203703031,0.3943871904561875,0.15554125599592508,59
EA,0.7850254613428094,-0.002879081647201387,-0.03400711488286834,0.6141582820037844,0.37719039535383997,59
EBAY,1.2813914649418838,-0.0006191016491679767,-0.007403974989710904,0.7038137284191546,0.4953537643112715,59
ECL,1.0946465744622988,-0.007067671501524141,-0.08159167575835047,0.7745791107621705,0.5999727988291147,59
ED,0.37107316466848295,-0.002829151751970779,-0.03342650073704656,0.3348028766447006,0.1120929662095666,59
EFX,1.526204537110418,-0.004830925929537184,-0.05645534937867125,0.7563559320907716,0.5720742960088998,59
EG,0.6450879707277778,-0.0007969147155438621,-0.009521172906719944,0.4349065459574116,0.1891437037166062,59
EIX,0.9533062755007159,-0.0055307678563960945,-0.06438707545193045,0.6870868457628644,0.4720883336203622,59
EL,1.0109926296773983,-0.02544797082222016,-0.2660603319390077,0.4935417974101825,0.24358350579087362,59
ELV,0.7990360453317414,-0.0019740775243911966,-0.023433414430147237,0.553325233125215,0.3061688136130735,59
EME,1.0625814361212795,0.018625788536176253,0.24788913680622326,0.6534775575799986,0.4270329182607204,59
EMN,1.4694902628965727,-0.007061599791468289,-0.08152428147846502,0.7961264252549545,0.6338172849892326,59
EMR,1.302975543635514,-0.0013730490293400299,-0.01635272867962978,0.7730192158263492,0.5975587080367839,59
EOG,1.369929340323254,-0.00036478577513678057,-0.004368657440348311,0.5458333563754009,0.29793405293203534,59
EPAM,1.5534853049144528,-0.014272356864559287,-0.1584435949666636,0.48482117557889454,0.23505157228970128,59
EQIX,0.6893369643537224,0.0018058136030020622,0.02188628756977984,0.5402436116895527,0.2918631599713722,59
EQR,0.9538674013156223,-0.009224555007205745,-0.10524771559592427,0.7303809361689212,0.5334563119189897,59
EQT,0.8476715694829682,0.02643658301970915,0.36768305721947714,0.29212767391056743,0.08533857786439882,59
ERIE,0.4461155999880829,0.011466085610441167,0.14661047718724607,0.2778652619139165,0.0772091037784894,59
ES,0.6426339323421788,-0.012643664767656161,-0.1416053439779551,0.5218698137445646,0.27234810249778657,59
ESS,0.9474828180904812,-0.008302910032005232,-0.09520859556023797,0.6736743270898266,0.45383709897993063,59
ETN,1.0036160688113769,0.012701452467981855,0.16352895235470744,0.7473252661273553,0.5584950533923224,59
ETR,0.7093174391627626,-0.0021618974380649193,-0.025636510586972472,0.5303345707660759,0.281254756949638,59
EVRG,0.6318941256390995,-0.006550894564365549,-0.07583934199070885,0.520075129204712,0.27047814001729786,59
EW,1.0776674637526589,-0.010643445454447566,-0.12050368505181341,0.5751753979553772,0.33082673841312654,59
EXC,0.5456742361727626,-0.0017013925891280137,-0.02022673782635931,0.4933562362034289,0.24340037580081353,59
EXPD,0.9635658299658066,-0.0019481773958246852,-0.02312925226333018,0.700395182736631,0.4905534120006788,59
EXPE,1.8455213567990427,-0.007831033262962746,-0.09002875780655217,0.6653292666894604,0.44266303311353505,59
EXR,0.9193239854004751,-0.001519479868629165,-0.018082145537489325,0.5554450452692875,0.3085191983142008,59
F,1.707814242152949,-0.010234438101162795,-0.11613066708238129,0.6847649308383494,0.4689030105060495,59
FANG,1.88842737243784,-0.00033173589144653605,-0.003973575508619098,0.569095868517162,0.3238701075633029,59
FAST,0.9959325246648284,0.004365572406116569,0.053663196619066156,0.7301642795861119,0.5331398751835057,59
FCX,1.8505442725715038,0.00471453854702231,0.05806473631051068,0.7104742681961652,0.5047736857688765,59
