Ticker,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,R_squared,Adj_R_squared,ResidVar,N_obs
MPC,0.006127453267560409,1.5224563552441648,0.017887589284879872,1.3087219319167998,-0.2720380702598742,-0.16602440130563906,0.5198561604766596,0.5053939966355951,0.006041191984425842,172
MPWR,0.016673216103540944,1.1507817757368368,0.16880037502513545,0.030048877990764847,-0.5829502204858487,-1.1461286718721282,0.2948599603955877,0.28046934734243645,0.009736513438158513,251
MRK,0.0004767486321915828,0.7852116373751266,-0.7101743166000268,-0.31912666669510303,0.22923925120236333,0.8097001439126709,0.2596460108069666,0.25089478162028767,0.003591647276404296,429
MRNA,0.015403718947334624,1.3134953095126227,2.231634870651455,-2.0217725210619846,0.49131358565899613,1.5568680765785041,0.18926405127230272,0.13592615990863843,0.050607808927941374,82
MS,0.004026381756235467,1.5361786424269002,-0.36340267489441896,0.6502063712078835,-0.7983996298182222,-0.3944178727922163,0.5395098581335286,0.533544959922823,0.004970594917136563,392
MSCI,0.006448659316387073,1.1304670038872122,0.3151303355665734,-0.4095275852348746,0.20907147636084603,-0.4566782972138137,0.4652077411600215,0.45241366798203164,0.003963157235924154,215
MSFT,0.011445587691441763,1.0584560770170253,-0.29668294185904687,-0.3733797970945992,0.15877250840985616,-0.7528546998449064,0.4363663022247347,0.42970396537159916,0.004175745668185829,429
MSI,0.003332400454849934,1.081644170773513,0.3740781165146719,-0.19662940652021815,-0.32081737800156834,0.02776992609304322,0.37568695374666794,0.3683073669115222,0.005304931279964177,429
MTB,0.004122618248249627,0.7083468225447277,0.09649243881318724,1.4075418488592881,-0.08868707997103653,-0.6727924988941345,0.483266681648467,0.4771587228027041,0.002607874629311463,429
MTCH,0.011210256543346942,0.9924481824629324,0.27370464756783136,-0.052246579818072986,-0.26581881790935397,0.08959115557326892,0.12502639723136189,0.11372182872013914,0.01733214061056879,393
MTD,0.005029056252276769,1.2148492892003282,0.1985162413978565,-0.4170138261243002,0.17826416719682225,0.578526489381302,0.4332783484237689,0.42466555736637934,0.003931679609857489,335
MU,0.01671210139061291,1.3724999635820874,0.34645130172315575,0.13195090002955326,-0.8533439792218807,-0.7639620547087522,0.26071109343620613,0.2519724538787145,0.018633975742005343,429
NCLH,-0.011182929707446394,2.087232436201388,0.380205610423454,0.7611021212537887,-0.3270068014148531,-0.5151487711757191,0.4554966685606,0.4369761470830694,0.012198791805768196,153
NDAQ,0.007967684113425027,0.8490918053492205,0.08576845983002944,0.011112404855835752,-0.27024030402875565,-0.0997109781599749,0.18230011942102142,0.16732393113202915,0.007406580219623332,279
NDSN,0.0014984367023311853,0.9897854288003747,0.421499739870598,0.2606723550169522,0.3836367836966985,-0.30293321770693526,0.3388769620365094,0.3310622689163736,0.004330868184523655,429
NEE,0.0042119001132590594,0.5028043371496221,-0.24708124269428736,-0.0458191449457416,0.27651140794481194,0.4472613232827068,0.14039246430993202,0.13023161873439926,0.0027392516795951396,429
NEM,0.0012045224813616972,0.4539037067346493,0.2581107121267662,-0.23982259175365,0.29716982163451133,0.5973510193947194,0.032906448623587714,0.021475082768074638,0.012025424217440968,429
NFLX,0.031610810787256714,0.9584762165213487,0.22500211371902257,-0.4673986977992847,-1.4840183887878615,-0.8473498589414277,0.1793995386769357,0.16447953028924367,0.020989719333984413,281
NI,0.002537636296568691,0.6081157106857521,-0.3742546216979675,0.3343961599209427,0.22306153377878932,0.4778193792881289,0.26684830640490853,0.25818221073593584,0.0024723812501413916,429
NKE,0.0010356752608607774,1.0721603817274474,0.002695943782617985,-0.12265851059852317,1.0737038049955314,0.019558711991277268,0.2781844773436165,0.2696523789670636,0.005599024302323446,429
NOC,0.004983816579126227,0.7041429046253316,0.0304812558207459,0.37056144509917777,0.5642537641433996,0.05810701354391123,0.17770897945882003,0.16798922744296674,0.004944670016915782,429
NOW,0.014855632572889273,1.0234405702246572,-0.004979028165707547,-0.6042324331663518,-0.7757736188126589,-0.4108909314979308,0.37292400858708175,0.35256439847627274,0.00546692607046984,160
NRG,0.007224140243707741,0.9798030061000449,-0.05825741424210704,-0.19223971518312008,-0.04579562788303766,0.2259406080887689,0.16869122653155078,0.15245472704974516,0.008615818299135766,262
